X,Y,OBJECTID,NAME,LOCATION,PHONE,URL,LONGITUDE,LATITUDE
574704.139399999752641,4804370.3373,1,Flamboro Valley Camping Resort,"1158 Regional Road 97, Flamborough, ON",905-659-5053,http://www.flamborovalley.com/index.php,-80.07764880516307,43.388488593388495
570493.257199999876,4806783.785299999639,2,Emerald Lake Trailer Resort and Waterpark,"7248 Gore Road, Puslinch, ON",905-659-7923,http://www.emeraldlake.ca/,-80.12932220906998,43.410625343336726
611558.889999999664724,4786167.33,3,Fifty Point Conservation Area,"1479 Baseline Road, Winona, ON",905-525-2187,http://www.conservationhamilton.ca/fifty-point-conservation-area,-79.62641600077255,43.22005048412169
579219.990000000223517,4800860.76,4,Gulliver's Lake,"792 Safari Road, Millgrove, ON",905-894-7305,http://www.gulliverslake.com/,-80.0224083108512,43.3564279726058
570783.44400000013411,4806633.4252,5,Maple Grove Trailer Park,"1488 Concession 11 West, Flamborough, ON",905-659-3311,http://www.maplegroveflamborough.com/,-80.12575792993917,43.40924424923825
580769.315000000409782,4807697.08,6,Lawson Park,"322 Concession 11 Road East, Freelton, ON",905-659-3395,http://www.lawsonpark.ca/main.php,-80.00228306351143,43.41781112495315
589050.559999999590218,4803241.22,7,Lost Forest Park and Camping Resort,"4449 Millborough Line, Millgrove, ON",905-689-7648,http://www.lostforestpark.com/,-79.90073070437566,43.376757748787824
576972.9375,4795215.888,8,Olympia Village RV Park and Campground,"1161 Concession 4 West, Waterdown, ON",905-627-1923,http://www.olympiavillage.ca/,-80.05092539231262,43.30583897625185
571859.860000000335276,4796541.4,9,Pine Valley Park,"955 Valens Road, Branchton, ON",519-623-4998,http://www.pinevalleypark.com/,-80.11378845885525,43.31827895251513
569644.294800000265241,4803727.2211,10,Valens Conservation Area,"1691 Regional Road 97, Flamborough, ON",905-525-2183,http://www.conservationhamilton.ca/valens-conservation-area,-80.14019598127854,43.38318507677641
577547.92,4797855.55,11,Cedars Campground,"1039 Concession 5 West, Millgrove, ON",905-659-3655,http://www.cedarscampground.com/,-80.04346408322216,43.32954568903083
574695.205900000408292,4802299.917199999094,12,Ponderosa Nature Resort,"1218 Concession Road 8 West, Flamborough, ON",905-659-3410,http://ponderosaresort.ca/,-80.07804159499125,43.369848821561014
