OBJECTID,YEAR_GRANT_PAID,RECIPIENT,ADDRESS,COMMUNITY,ACTUAL_EXPENDITURES,GRANT_AMOUNT
1,2014,Stinson School Inc.,200 Stinson Street,Hamilton,65563,26391
2,2014,Mr. Don Herrow ,320 King Street East,Hamilton,10493,4106
3,2014,St. Paul's Presbyterian Church,64-70 James Street South,Hamilton,14466,7233
4,2014,St. Paul's Presbyterian Church,64-70 James Street South,Hamilton,43199,20800
5,2014,Charisma Church,16 West Avenue South,Hamilton,42938,20734
6,2015,2203284 Ontario Inc.,98 James Street South,Hamilton,8588,7824
7,2015,2096053 Ontario Ltd.,33 King Street West,Dundas,7597,7597
8,2016,Stewart Memorial Church,114 John Street North,Hamilton,116550,39138
9,2016,2096053 Ontario Ltd.,33 King Street West,Dundas,283963,80991
10,2016,Korean United Church,69 Pearl Street North,Hamilton,70512,25086
11,2016,"Wilson, Blanchard Management Inc.",52 James Street South,Hamilton,241142,70286
12,2016,"Wilson, Blanchard Management Inc.",47 James Street South,Hamilton,282161,80540
