X,Y,OBJECTID,NAME,BUILDING_SQ_FT,HOLDINGS,CIRCULATION,RANKING,RADIUS_KM,LONGITUDE,LATITUDE
583105.56940000038594,4786343.800899999216,1,Ancaster Library,7500,58884,247037,-3,2,-79.97666063140129,43.22530917338574
594054.542500000447035,4790121.25,2,Barton Library,6272,25027,69297,-2,1,-79.84121898138898,43.258031699450754
597338.252600000239909,4775024.824799999595,3,Binbrook Library,3192,18858,46545,-1,10,-79.80342947213485,43.12170437851469
582514.829900000244379,4805301.48369999975,4,Carlisle Library,2491,18434,45113,-1,10,-79.98108621096793,43.39605338581425
593256.672799999825656,4788223.052899999544,5,Concession Library,8380,47689,173618,-3,2,-79.85136825154244,43.24104159881205
584813.050800000317395,4790827.173399999738,6,Dundas Library,13712,86203,280443,-3,2,-79.95494871167945,43.265483892235544
591660.301099999807775,4790189.547599999234,7,Hamilton Central Library,146131,146131,830909,-5,5,-79.87069971576268,43.25894156065867
596705.526499999687076,4788544.177699999884,8,Kenilworth Library,8000,46702,145651,-3,2,-79.80884162931072,43.24349823716794
590346.004599999636412,4789381.21499999985,9,Locke Library,1451,23853,92902,-2,1,-79.88702203808717,43.25182285401401
588445.094100000336766,4779221.598799999803,10,Mount Hope Library,2230,15457,31195,-1,10,-79.91206219950452,43.16057987078495
599722.624699999578297,4787119.8002,11,Red Hill Library,11760,61550,236902,-3,2,-79.77194471914495,43.23028211377719
601917.871600000187755,4786264.900299999863,12,Saltfleet Library,15481,70643,252049,-3,2,-79.74507509332878,43.22229244917222
595126.30350000038743,4786641.445299999788,13,Sherwood Library,20400,74754,333168,-3,2,-79.82861768595231,43.22656912838139
590399.9605,4786992.8899,14,Terryberry Library,30000,121339,590659,-4,5,-79.88674908217796,43.23031428003548
597674.272099999710917,4782959.5075,15,Valley Park Library,3100,23668,94484,-2,1,-79.79790001210846,43.19309594019813
588798.48450000025332,4797336.6464,16,Waterdown Library,3410,31253,143223,-2,2,-79.90479819381896,43.32362939957626
588994.628899999894202,4790556.93219999969,17,Westdale Library,9950,56499,274285,-3,2,-79.903476765601,43.262568621520266
606293.053000000305474,4785284.6575,18,Stoney Creek Library,6404,32989,87659,-2,2,-79.69140529595892,43.21286434677112
591106.841300000436604,4783464.94199999981,19,Turner Park Library,23918,58400,0,,0,-79.87862786114596,43.198467046768194
569292.320000000298023,4787438.46,20,Lynden Library,4000,0,0,,0,-80.14659537003942,43.23656020527914
577841.270299999975,4805454.811599999666,21,Freelton Library,,0,0,,0,-80.03876645367953,43.397933408491
581458.25,4791874.15,22,Greensville Library,,0,0,,0,-79.99612469234015,43.27528027034178
