X,Y,OBJECTID,NAME,LONGITUDE,LATITUDE
582829.909099999815226,4786442.819099999964,1,Fieldcote Memorial Park And Museum,-79.98003964492489,43.22623097541062
587378.63190000038594,4779082.5315,2,Canadian Warplane Heritage Museum,-79.92520011925264,43.1594517892311
590550.154400000348687,4791344.134899999946,3,Dundurn Castle,-79.88418485818046,43.2694704663122
590509.3629,4791200.412799999118,4,Hamilton Military Museum,-79.88471105109906,43.2681814437121
591524.244199999608099,4789998.8574,5,Art Gallery Of Hamilton,-79.87240736811425,43.2572413241577
591544.141900000162423,4789773.375399999321,6,Canadian Football Hall Of Fame,-79.87219974123047,43.25520890658659
591559.901800000108778,4789704.252499999478,7,Whitehern Historic House And Garden,-79.87201710691545,43.254584682959766
595332.661999999545515,4788528.0416,8,Hamilton Children's Museum,-79.8257509994645,43.24352777987357
599675.620500000193715,4790033.1433,9,Hamilton Museum Of Steam And Technology,-79.77199666870834,43.25651609055209
600218.282700000330806,4785719.12529999949,10,Battlefield House Museum,-79.76609660051308,43.21760665501389
603795.721599999815226,4784570.9866,11,The Erland Lee Museum Home,-79.72227698923555,43.20678702702288
